Investor name,Website,Global HQ
Northwell Ventures,https://www.northwell.edu/,"New Hyde Park, New York, United States"
Novo Holdings,https://www.novoholdings.dk/investments/ventures/,"Bagsværd, Hovedstaden, Denmark"
NovX Capital,https://novxcapital.com/,"162 boulevard Haussmann 75008 Paris, France"
NTT Docomo Ventures,https://www.nttdocomo-v.com/en/,
Ocea Group,https://www.ocea-tgb.com/en/,
Okta Ventures,https://www.okta.com/okta-ventures/,"100 First Street, Suite 600, San Francisco, CA, USA"
Omron Ventures,https://www.omron.com/ventures,"Tokyo, Tokyo, Japan"
Orange Corp,http://www.orangecorp.co,"Mumbai, Maharashtra, India"
Orix Corporation,http://www.orix.co.jp/grp/en/,
OSF Ventures,https://www.osfhealthcare.org/ventures/,"Peoria, Illinois, United States"
Partners Investment,http://www.partnersi.co.kr/eng/,"Seoul, Seoul-t'ukpyolsi, South Korea"
PayPal Ventures,https://www.paypal.com/us/webapps/mpp/paypal-ventures,"San Jose, California, United States"
Pd ventures by Pressedruck,http://pdventures.de/,"Augsburg, Bayern, Germany"
Pfizer Venture Investments,https://www.pfizer.com/partners/venture-investments,"New York, New York, United States"
Phoenix Contact Innovation Ventures,http://www.phoenixcontact-innovationventures.com/,"Blomberg, Nordrhein-Westfalen, Germany"
Ping An Capital,http://pacapital.pingan.com/,"Shanghai, Shanghai, China"
Pix Vine Capital,https://www.pixvc.com/,"Singapore, Central Region, Singapore"
PM Equity Partner,https://www.pmequitypartner.com/,"Lausanne, Vaud, Switzerland"
Pola Orbis Holdings,https://www.po-holdings.co.jp/venture/,
Posco Venture Partners,http://www.poscoventure.co.kr,"Seoul, Seoul-t'ukpyolsi, South Korea"
Praktikerinvest,http://www.praktikertjanst.se,"Stockholm, Stockholms Lan, Sweden"
Prasetia Dwidharma,http://www.prasetia.co.id/investment,"Jakarta Pusat, Jakarta Raya, Indonesia"
Presidio Ventures,http://www.presidio-ventures.com,"Santa Clara, California, United States"
QBE Ventures,https://www.qbe.com/ventures,"Sydney, New South Wales, Australia"
QNBeyond Ventures,https://www.qnbeyondventures.com/,"Istanbul, Turkey"
R/GA Ventures,https://ventures.rga.com/,"New York, New York, United States"
Rakuten Capital,https://capital.rakuten.com/,"Setagaya, Tokyo, Japan"
Randstad Innovation Fund,http://www.randstadinnovationfund.com,"Amsterdam, Noord-Holland, The Netherlands"
RBC Venture Partners,http://www.rbc.com/vp,"Toronto, Ontario, Canada"
Reinventure Group by Westpac Banking,https://reinventure.com.au/,"Sydney, New South Wales, Australia"
Reliance Venture Asset Management,http://www.relianceventure.com/,"Mumbai, Maharashtra, India"
Rev1 Ventures,http://www.rev1ventures.com,"Columbus, Ohio, United States"
Ringier Digital Ventures,http://www.ringier.com/en/about-ringier/activities/ventures,"Zürich, Zurich, Switzerland"
Ringleader Ventures,http://www.ringleaderventures.com,"Elmhurst, Illinois, United States"
RTL Ventures,http://www.rtlventures.nl/,"Hilversum, Noord-Holland, The Netherlands"
RVC InfraFund,http://www.rvcinfra.com/en/,"Moscow, Moscow City, Russian Federation"
SAIC Venture Capital,https://saicvc.com/,"Las Vegas, Nevada, United States"
Samrat Investments,https://www.samratfinancialbanking.com/funding,"Manali, Himachal Pradesh, India"
Sandusky Ventures,http://www.sanduskyventures.com,"Austin, Texas, United States"
Sankonline,http://www.sankonline.com/,"Istanbul, Istanbul, Turkey"
Sanofi-Genzyme BioVentures,http://sanofigenzymebioventures.com,"Cambridge, Massachusetts, United States"
Saudi Aramco Energy Ventures,http://www.saev.com,"Dhahran, Ash Sharqiyah, Saudi Arabia"
Saudi Aramco Entrepreneurship Ventures,https://waed.net/en/home.html,"Dhahran, Ash Sharqiyah, Saudi Arabia"
Scania Growth Capital,http://www.scania.com/group/en/section/innovation/scania-growth-capital/,"Södertälje, Vasternorrlands Lan, Sweden"
SDIC Unity Capital,http://www.sdicfof.com/gtch/index,"Beijing, Beijing, China"
SEB Venture Capital,http://www.seb.se/venturecapital,"Stockholm, Stockholms Lan, Sweden"
